pincode,state_name,city,State CODE
121013,HARYANA,FARIDABAD,HR
121014,HARYANA,FARIDABAD,HR
121015,HARYANA,FARIDABAD,HR
121016,HARYANA,FARIDABAD,HR
121017,HARYANA,FARIDABAD,HR
121021,HARYANA,FARIDABAD,HR
121022,HARYANA,FARIDABAD,HR
121023,HARYANA,FARIDABAD,HR
121101,HARYANA,FARIDABAD,HR
121102,HARYANA,FARIDABAD,HR
121103,HARYANA,FARIDABAD,HR
121104,HARYANA,GURGOAN,HR
121105,HARYANA,FARIDABAD,HR
121106,HARYANA,FARIDABAD,HR
121107,HARYANA,FARIDABAD,HR
121108,HARYANA,FARIDABAD,HR
121109,HARYANA,FARIDABAD,HR
121111,HARYANA,FARIDABAD,HR
121132,HARYANA,FARIDABAD,HR
121144,HARYANA,FARIDABAD,HR
121197,HARYANA,FARIDABAD,HR
121202,HARYANA,FARIDABAD,HR
121203,HARYANA,FARIDABAD,HR
121212,HARYANA,FARIDABAD,HR
121223,HARYANA,FARIDABAD,HR
121234,HARYANA,FARIDABAD,HR
121301,HARYANA,FARIDABAD,HR
121314,HARYANA,FARIDABAD,HR
121336,HARYANA,FARIDABAD,HR
121403,HARYANA,FARIDABAD,HR
121435,HARYANA,FARIDABAD,HR
121505,HARYANA,FARIDABAD,HR
121516,HARYANA,FARIDABAD,HR
121602,HARYANA,FARIDABAD,HR
121610,HARYANA,FARIDABAD,HR
121612,HARYANA,FARIDABAD,HR
121705,HARYANA,FARIDABAD,HR
121719,HARYANA,FARIDABAD,HR
121812,HARYANA,FARIDABAD,HR
121821,HARYANA,FARIDABAD,HR
122000,HARYANA,GURGAON,HR
122001,HARYANA,GURGAON,HR
122002,HARYANA,GURGAON,HR
122003,HARYANA,GURGAON,HR
122004,HARYANA,GURGAON,HR
122005,HARYANA,GURGAON,HR
122006,HARYANA,GURGAON,HR
122007,HARYANA,GURGAON,HR
122008,HARYANA,GURGAON,HR
122009,HARYANA,GURGAON,HR
122010,HARYANA,GURGAON,HR
122011,HARYANA,GURGAON,HR
122012,HARYANA,GURGAON,HR
122013,HARYANA,GURGOAN,HR
122014,HARYANA,GURGOAN,HR
122015,HARYANA,GURGAON,HR
122016,HARYANA,GURGAON,HR
122017,HARYANA,GURGAON,HR
122018,HARYANA,GURGAON,HR
122019,HARYANA,GURGAON,HR
122020,HARYANA,GURGAON,HR
122021,HARYANA,GURGAON,HR
122022,HARYANA,GURGOAN,HR
122023,HARYANA,GURGAON,HR
122024,HARYANA,GURGAON,HR
122025,HARYANA,GURGAON,HR
122026,HARYANA,GURGAON,HR
122027,HARYANA,GURGAON,HR
122028,HARYANA,GURGAON,HR
122029,HARYANA,GURGAON,HR
122030,HARYANA,GURGAON,HR
122031,HARYANA,GURGAON,HR
122032,HARYANA,GURGAON,HR
122033,HARYANA,GURGAON,HR
122034,HARYANA,GURGAON,HR
122035,HARYANA,GURGAON,HR
122036,HARYANA,GURGAON,HR
122037,HARYANA,GURGAON,HR
122038,HARYANA,GURGAON,HR
122039,HARYANA,GURGAON,HR
122040,HARYANA,GURGAON,HR
122041,HARYANA,GURGAON,HR
122042,HARYANA,GURGAON,HR
122043,HARYANA,GURGAON,HR
122044,HARYANA,GURGAON,HR
122045,HARYANA,GURGAON,HR
122046,HARYANA,GURGAON,HR
122047,HARYANA,GURGAON,HR
122048,HARYANA,GURGAON,HR
122049,HARYANA,GURGAON,HR
122050,HARYANA,GURGOAN,HR
122051,HARYANA,GURGAON,HR
122052,HARYANA,GURGAON,HR
122054,HARYANA,GURGAON,HR
122055,HARYANA,GURGAON,HR
122075,HARYANA,GURGAON,HR
122081,HARYANA,GURGAON,HR
122098,HARYANA,GURGAON,HR
